code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
596736,SklenÈ,93,75,75,9,0,0,4,0,4,21,0,0,1,0,1,3,0,2,16,0,9,0,0,0,0,2,3
596744,SklenÈ nad Oslavou,195,113,111,13,0,1,14,0,5,10,0,1,0,0,0,12,0,2,24,0,5,0,0,0,0,13,11
596752,Skorotice,111,59,59,11,0,0,4,0,2,12,1,1,1,0,0,2,0,0,8,0,3,0,0,0,3,10,1
596761,Sk¯in·¯ov,126,87,85,19,0,0,13,0,1,1,1,0,1,0,0,16,0,1,20,0,7,0,0,0,0,4,1
596787,SnÏûnÈ,616,397,393,63,0,0,35,1,18,38,1,2,3,0,1,36,1,27,106,0,29,0,1,0,2,29,0
596795,SpÏlkov,38,33,33,1,0,1,5,0,1,5,0,1,2,0,0,1,0,0,7,0,0,0,0,0,0,9,0
596809,Strachujov,123,94,93,3,1,0,15,0,4,13,4,2,0,0,1,4,0,7,26,0,7,1,0,0,2,3,0
596817,Str·neck· Zho¯,479,323,322,15,0,0,17,0,5,16,2,3,9,1,0,38,1,20,101,1,51,0,1,0,1,32,8
596825,Str·ûek,734,439,436,20,0,0,53,1,8,56,0,2,4,1,0,29,0,11,134,1,78,0,3,0,3,31,1
549886,St¯Ìteû,89,63,63,3,0,0,7,0,3,11,1,0,3,2,0,5,0,1,16,0,8,0,0,0,0,3,0
596833,Sulkovec,153,102,100,7,0,2,8,1,3,4,3,1,0,0,0,9,0,1,38,0,21,0,0,0,0,2,0
596841,SvÏtnov,366,232,231,12,0,1,23,0,5,24,3,1,4,0,0,11,0,2,86,1,18,0,5,1,1,30,3
596850,Sviny,86,63,63,13,0,0,3,0,1,9,0,0,0,0,0,2,0,3,13,0,10,0,0,0,0,8,1
596868,Svratka,1†195,796,785,124,1,1,78,1,35,66,4,5,4,0,1,71,1,17,212,1,83,0,1,2,0,74,3
596876,äkrdlovice,581,412,409,39,1,2,32,0,16,39,6,3,4,0,0,28,0,17,135,0,31,0,0,1,2,48,5
596884,ätÏp·nov nad Svratkou,565,343,343,33,1,1,58,0,7,53,1,6,0,1,2,21,0,2,100,1,27,0,3,1,0,24,1
591831,Tasov,523,342,339,27,1,1,35,1,16,27,10,7,4,1,0,33,1,37,74,0,32,0,1,1,1,24,5
587753,T¯i StudnÏ,122,101,101,16,0,0,9,0,11,2,0,2,0,0,0,10,0,3,22,0,17,0,1,0,0,8,0
549959,UbuöÌnek,84,60,58,4,0,1,10,0,9,4,0,1,0,0,0,7,0,5,6,0,8,0,0,0,0,3,0
596906,Uh¯Ìnov,249,188,186,12,1,0,14,1,7,9,1,2,2,2,0,13,0,9,46,0,49,0,0,0,0,16,2
596914,UjËov,379,234,234,20,0,0,22,1,10,32,3,2,0,0,1,20,0,10,53,0,47,0,0,1,1,10,1
596922,⁄jezd,207,142,141,15,0,1,12,1,7,11,0,1,4,0,0,14,0,4,23,0,37,0,3,0,0,8,0
596931,UnËÌn,167,111,111,9,0,0,14,0,3,10,1,3,2,1,0,8,0,4,26,0,9,0,1,0,0,19,1
596949,VatÌn,269,187,187,17,0,0,15,1,3,27,5,1,0,0,0,16,0,9,62,0,23,0,1,0,1,4,2
596957,VÏcov,566,406,401,30,0,0,64,0,11,42,1,1,3,0,0,41,1,21,88,0,63,1,2,1,0,23,8
596965,VÏchnov,277,188,187,9,0,0,23,0,4,16,1,2,6,0,1,15,0,9,59,0,23,0,1,0,4,14,0
596973,Velk· BÌteö,4021,2533,2520,273,3,1,243,3,148,256,31,20,38,2,3,254,3,103,552,1,309,1,25,7,1,227,16
596981,Velk· Losenice,895,572,569,44,1,0,50,0,15,36,9,2,4,0,0,44,0,19,140,1,130,0,4,3,2,64,1
596990,VelkÈ Janovice,97,70,70,1,1,0,5,0,5,4,0,3,0,0,0,10,0,5,13,0,18,0,0,0,0,3,2
597007,VelkÈ Mezi¯ÌËÌ,9294,5854,5818,527,4,6,583,5,128,473,74,37,72,18,1,658,8,457,1569,14,542,4,31,35,5,475,92
587893,VelkÈ TresnÈ,94,58,58,3,0,0,11,0,2,5,1,0,0,0,0,6,0,3,20,0,1,0,0,0,0,6,0
597015,Vep¯ov·,328,247,247,10,3,0,26,0,14,17,1,1,6,0,0,13,0,2,81,0,59,0,0,0,1,9,4
597031,VÏstÌn,135,96,96,17,0,0,6,0,2,11,3,0,0,0,0,7,0,3,22,0,5,0,0,0,0,18,2
597040,VÏûn·,180,131,131,5,0,0,11,0,3,17,2,0,2,0,0,12,0,1,42,0,29,0,0,0,1,6,0
597058,VÌdeÚ,345,243,241,18,0,0,18,1,19,10,1,1,0,1,0,25,1,14,53,0,59,0,1,0,0,17,2
597066,VidonÌn,133,85,83,1,0,0,15,0,2,8,0,1,0,0,0,4,0,2,26,0,16,0,0,0,0,7,1
597074,VÌr,590,380,376,23,1,0,30,1,4,36,6,1,5,0,1,58,0,8,140,0,10,0,1,0,11,39,1
587869,Vlachovice,131,108,107,4,0,0,8,0,11,12,1,0,0,0,0,9,0,5,33,0,14,0,0,0,0,9,1
597082,Vlkov,209,142,141,6,0,0,19,0,2,17,2,0,7,0,0,9,0,2,31,0,29,0,4,0,0,12,1
597091,Vojn˘v MÏstec,616,410,408,29,0,0,50,1,21,48,2,4,4,0,2,32,0,6,128,2,25,0,1,0,2,51,0
588334,VysokÈ,138,95,95,7,0,0,9,0,6,14,0,1,0,0,0,8,0,5,22,0,15,0,2,1,0,4,1
597112,Z·blatÌ,165,123,123,4,0,0,10,0,2,16,1,0,4,0,0,7,0,6,48,0,19,0,0,0,0,5,1
597121,ZadnÌ Zho¯ec,104,80,79,1,0,0,5,0,4,17,0,0,0,0,0,3,0,1,19,0,21,0,2,0,0,6,0
597139,ZnÏtÌnek,164,113,113,3,0,0,6,0,6,8,0,0,1,1,0,6,0,4,30,0,37,0,0,0,0,10,1
597147,Zub¯Ì,374,289,288,20,0,0,30,3,10,22,0,2,1,1,0,19,0,17,85,0,56,0,2,0,0,19,1
597155,Zvole,525,374,370,30,0,0,41,0,8,43,0,5,6,1,0,21,0,12,109,2,63,0,1,0,1,25,2
597163,éd·nice,179,130,129,10,0,0,9,0,2,3,0,0,1,0,0,20,0,1,46,0,11,0,0,0,0,26,0
595209,éÔ·r nad S·zavou,17614,11004,10937,1253,5,5,1094,7,460,889,120,54,156,5,6,1146,2,455,3248,15,934,4,74,20,13,856,116
